"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"targeted",": a mark to shoot at : a target marked by shots fired at it : something or someone fired at or marked for attack : a goal to be achieved : an object of ridicule or criticism : something or someone to be affected by an action or development : a person against whom a federal prosecutor has substantial evidence of involvement in criminal activity and who the prosecutor believes is likely to be indicted by a grand jury : the metallic surface (as of platinum or tungsten) upon which the stream of electrons within an X-ray tube is focused and from which the X-rays are emitted : a body, surface, or material bombarded with nuclear particles or electrons : fluorescent material on which desired visual effects are produced in electronic devices (as in radar) : a small round shield"
"targeting",": a mark to shoot at : a target marked by shots fired at it : something or someone fired at or marked for attack : a goal to be achieved : an object of ridicule or criticism : something or someone to be affected by an action or development : a person against whom a federal prosecutor has substantial evidence of involvement in criminal activity and who the prosecutor believes is likely to be indicted by a grand jury : the metallic surface (as of platinum or tungsten) upon which the stream of electrons within an X-ray tube is focused and from which the X-rays are emitted : a body, surface, or material bombarded with nuclear particles or electrons : fluorescent material on which desired visual effects are produced in electronic devices (as in radar) : a small round shield"
"targets",": a mark to shoot at : a target marked by shots fired at it : something or someone fired at or marked for attack : a goal to be achieved : an object of ridicule or criticism : something or someone to be affected by an action or development : a person against whom a federal prosecutor has substantial evidence of involvement in criminal activity and who the prosecutor believes is likely to be indicted by a grand jury : the metallic surface (as of platinum or tungsten) upon which the stream of electrons within an X-ray tube is focused and from which the X-rays are emitted : a body, surface, or material bombarded with nuclear particles or electrons : fluorescent material on which desired visual effects are produced in electronic devices (as in radar) : a small round shield"
"tariff",": a schedule of duties imposed by a government on imported or in some countries exported goods : a duty or rate of duty imposed in such a schedule : a schedule of rates or charges of a business or a public utility : PRICE, CHARGE"
"tariffs",": a schedule of duties imposed by a government on imported or in some countries exported goods : a duty or rate of duty imposed in such a schedule : a schedule of rates or charges of a business or a public utility : PRICE, CHARGE"
"tarmac",": a tarmacadam road, apron, or runway"
"tarot",": any of a set of usually 78 playing cards including 22 pictorial cards used for fortune-telling"
"tart",": agreeably sharp or acid to the taste : marked by a biting, acrimonious, or cutting quality"
"tas",": THANKS"
"task",": a usually assigned piece of work often to be finished within a certain time : something hard or unpleasant that has to be done : DUTY, FUNCTION : subjection to adverse criticism : REPRIMAND see also TAKE TO TASK"
"tasked",": a usually assigned piece of work often to be finished within a certain time : something hard or unpleasant that has to be done : DUTY, FUNCTION : subjection to adverse criticism : REPRIMAND see also TAKE TO TASK"
"tasks",": a usually assigned piece of work often to be finished within a certain time : something hard or unpleasant that has to be done : DUTY, FUNCTION : subjection to adverse criticism : REPRIMAND see also TAKE TO TASK"
"taste",": to ascertain the flavor of by taking a little into the mouth : to eat or drink especially in small quantities : to perceive or recognize as if by the sense of taste : to become acquainted with by experience : APPRECIATE, ENJOY"
"tasted",": to ascertain the flavor of by taking a little into the mouth : to eat or drink especially in small quantities : to perceive or recognize as if by the sense of taste : to become acquainted with by experience : APPRECIATE, ENJOY"
"tasteless","Definition not found"
"tastes","Definition not found"
"tasting","Definition not found"
"tasty",": having a marked and appetizing flavor : strikingly attractive or interesting : TASTEFUL"
"tat",": to work at tatting"
"tattoo",": a mark, figure, design, or word intentionally fixed or placed on the skin: : one that is indelible and created by insertion of pigment under the skin : one that is temporarily applied to the skin, resembles a permanent tattoo, and usually lasts for a few days to several weeks : one that is composed of scar tissue intentionally created by cutting, abrading, or burning the skin : the act of tattooing : the fact of being tattooed"
"tattooed",": a mark, figure, design, or word intentionally fixed or placed on the skin: : one that is indelible and created by insertion of pigment under the skin : one that is temporarily applied to the skin, resembles a permanent tattoo, and usually lasts for a few days to several weeks : one that is composed of scar tissue intentionally created by cutting, abrading, or burning the skin : the act of tattooing : the fact of being tattooed"
